Case,layer_name,MACs,num_cycles,MAC_per_cycle,num_cores,L1_mem,L2_mem,L1_tiling,L2_tiling
Case 2,ReluConvolution12,294912,53923,5.469132,8,64000,256000,12288.0,12288.0
Case 2,ReluConvolution13,27648,27539,1.003958,8,64000,256000,16224.0,16224.0
Case 2,ReluConvolution14,589824,97349,6.05886,8,64000,256000,22272.0,22272.0
Case 2,ReluConvolution15,6912,12745,0.54233,8,64000,256000,15072.0,15072.0
Case 2,ReluConvolution16,294912,178292,1.654096,8,64000,256000,15480.0,39552.0
Case 2,ReluConvolution17,0,40694,0.0,8,64000,256000,36032.0,27840.0
Case 2,ReluConvolution18,0,2382246,0.0,8,64000,256000,20840.0,76800.0
Case 2,ReluConvolution19,0,40582,0.0,8,64000,256000,36032.0,27840.0
Case 2,ReluConvolution20,0,2426710,0.0,8,64000,256000,20840.0,76800.0
Case 2,ReluConvolution21,0,40101,0.0,8,64000,256000,36032.0,27840.0
Case 2,ReluConvolution22,0,4936209,0.0,8,64000,256000,34304.0,27392.0
Case 2,ReluPooling23,0,22972,0.0,8,64000,256000,1920.0,1920.0
Case 2,FullyConnected24,7680,4295,1.788126,8,64000,256000,8144.0,8144.0
Case 2,ReluConvolution0,165888,85482,1.940619,4,64000,256000,9960.0,9960.0
Case 2,ReluConvolution1,55296,70724,0.781856,4,64000,256000,10860.0,10860.0
Case 2,ReluConvolution2,147456,87118,1.692601,4,64000,256000,6528.0,6528.0
Case 2,ReluConvolution3,55296,77586,0.712706,4,64000,256000,7788.0,7788.0
Case 2,ReluConvolution4,294912,163656,1.802024,4,64000,256000,9984.0,9984.0
Case 2,ReluConvolution5,27648,55119,0.501606,4,64000,256000,10968.0,10968.0
Case 2,ReluConvolution6,147456,64030,2.302921,4,64000,256000,4416.0,4416.0
Case 2,ReluConvolution7,27648,42677,0.647843,4,64000,256000,6360.0,6360.0
Case 2,ReluConvolution8,294912,123247,2.392853,4,64000,256000,7296.0,7296.0
Case 2,ReluConvolution9,55296,84036,0.658004,4,64000,256000,12720.0,12720.0
Case 2,ReluConvolution10,589824,208407,2.830154,4,64000,256000,11136.0,11136.0
